h_str,a_str,hth,h_poise,a_poise,result
72.9,78.0,1.8,1.8,0,LOSE
73.2,75.3,1.0,0.4,0,WIN
75.9,72.5,1.4,0.6,0,DRAW
77.7,77.5,1.4,1.6,0,LOSE
80.4,72.0,2.6,1.4,0,WIN
81.6,82.5,1.6,0.4,0,DRAW
75.7,76.5,1.4,1.4,0,WIN
74.0,83.1,2.0,0.4,0,DRAW
75.4,79.5,1.4,1.4,0,LOSE
75.6,78.6,1.8,1.8,3.0,WIN
74.4,77.5,1.4,1.6,3.0,WIN
81.2,75.4,2.6,1.2,3.0,WIN
73.5,71.5,2.2,1.4,1.0,DRAW
81.5,77.0,1.2,0.8,0.0,WIN
72.5,76.6,1.6,0.8,0.0,WIN
74.5,74.6,1.2,0.4,1.0,WIN
74.5,83.1,1.8,0.6,0.0,LOSE
75.1,82.9,1.6,0.4,3.0,LOSE
78.8,78.5,1.4,2.2,1.0,DRAW
75.4,79.5,1.0,1.0,1.0,DRAW
74.5,76.0,0.4,1.6,0.0,WIN
71.9,76.0,1.0,0.6,3.0,LOSE
74.5,75.0,1.4,2.0,1.0,WIN
76.7,72.5,1.8,0.6,1.0,WIN
75.6,75.9,1.0,0.6,1.0,LOSE
82.4,74.5,1.4,1.0,3.0,DRAW
82.5,78.3,2.4,1.2,3.0,DRAW
78.3,80.8,1.6,1.4,1.0,DRAW
78.5,73.9,2.0,2.4,1.0,LOSE
79.1,75.6,1.4,1.2,3.0,WIN
81.5,75.8,2.0,1.6,3.0,WIN
75.3,75.7,1.0,1.2,0.0,WIN
74.6,74.5,1.4,0.6,1.0,WIN
82.4,78.2,1.6,1.4,0.0,DRAW
71.6,73.3,1.0,0.6,0.0,WIN
74.5,73.9,1.0,2.4,0.0,DRAW
79.0,79.5,1.6,1.0,0.0,LOSE
76.7,80.1,2.4,1.0,0.0,DRAW
76.8,74.1,1.0,1.4,0.0,WIN
73.7,78.2,2.2,1.2,1.0,LOSE
75.8,78.7,1.4,1.8,0.0,LOSE
77.5,75.3,1.6,0.6,3.0,LOSE
73.9,76.6,1.8,1.4,1.0,WIN
75.6,74.8,2.0,0.4,3.0,DRAW
75.9,71.6,1.2,1.6,0.0,DRAW
73.6,75.1,1.2,1.2,3.0,WIN
76.2,82.9,1.8,1.0,3.0,DRAW
77.8,77.0,1.0,0.2,1.0,LOSE
80.8,82.5,2.6,1.0,0.0,LOSE
80.8,75.6,2.4,0.6,0.0,DRAW
73.9,79.1,1.8,1.2,0.0,WIN
74.8,78.5,1.6,2.2,0.0,LOSE
76.0,81.7,1.4,1.0,0.0,LOSE
76.2,75.0,1.8,0.6,1.0,WIN
75.1,72.4,1.4,1.6,1.0,LOSE
77.6,76.4,1.0,0.8,0.0,WIN
75.7,77.0,1.6,0.8,0.0,DRAW
77.8,75.3,0.4,0.6,3.0,WIN
74.4,82.5,1.8,1.6,1.0,DRAW
82.7,73.9,2.6,2.0,1.0,LOSE
75.7,74.5,1.6,0.6,0.0,WIN
76.9,77.8,2.0,1.4,3.0,LOSE
79.1,74.2,1.4,1.4,3.0,WIN
76.9,75.9,1.4,1.0,1.0,DRAW
74.8,73.5,1.0,0.6,0.0,WIN
78.9,74.6,1.6,0.6,3.0,DRAW
75.6,76.3,2.0,1.2,0.0,WIN
72.4,81.2,1.6,1.2,0.0,LOSE
82.5,77.6,1.2,1.0,1.0,DRAW
75.8,78.0,0.8,1.0,0.0,WIN
76.9,75.6,1.6,0.8,0.0,LOSE
73.1,76.5,1.4,1.0,1.0,DRAW
77.8,75.5,0.8,0.4,3.0,LOSE
76.0,74.0,0.8,0.8,3.0,LOSE
71.6,76.4,1.4,0.8,0.0,LOSE
83.9,75.7,1.4,0.6,1.0,WIN
81.9,73.9,2.0,2.0,3.0,WIN
74.8,79.5,1.6,1.2,0.0,LOSE
83.3,78.5,2.0,2.6,0.0,LOSE
76.7,75.8,2.2,0.8,1.0,WIN
73.5,71.7,1.4,1.6,1.0,DRAW
74.3,73.2,2.2,0.6,3.0,WIN
74.5,82.6,2.4,1.6,3.0,LOSE
76.1,74.3,1.4,0.4,3.0,WIN
75.5,75.6,1.6,1.0,0.0,WIN
78.5,77.0,1.8,1.0,1.0,WIN
76.5,81.5,1.4,1.6,0.0,WIN
75.2,78.1,1.6,1.8,0.0,LOSE
73.2,75.1,0.8,1.4,0.0,WIN
73.7,75.4,2.2,0.8,3.0,DRAW
75.6,75.5,1.4,0.4,3.0,DRAW
73.2,81.8,1.4,2.2,0.0,LOSE
76.4,78.6,2.6,2.6,0.0,WIN
81.1,75.5,2.0,1.0,3.0,LOSE
76.1,74.5,2.0,0.0,1.0,WIN
78.1,82.8,1.2,1.6,3.0,WIN
77.4,75.1,2.0,0.8,3.0,WIN
78.9,81.1,2.4,1.0,1.0,DRAW
76.6,75.6,2.4,0.8,3.0,DRAW
